,PanCK,CD3,CD4,CD8,CD20,CD68,PD1,PDL1,FOXP3,Ki67,SMA,CD31,VIM,CD45
cell_01226,6,4,4,2,0,1,0,7,4,3,0,5,2,3
cell_01227,3,5,3,5,0,2,0,6,4,4,1,4,5,0
cell_01228,1,6,4,4,3,0,0,7,3,3,1,7,2,1
cell_01229,7,8,5,5,2,1,1,4,4,3,1,10,6,3
cell_01230,3,3,6,0,4,1,2,3,6,6,2,7,7,1
cell_01231,3,5,6,3,0,1,1,5,2,4,0,9,4,2
cell_01232,0,9,6,5,1,1,0,3,7,1,0,8,4,2
cell_01233,1,6,8,1,4,2,1,4,4,4,1,7,7,1
cell_01234,2,9,2,5,0,1,1,8,3,7,2,4,10,1
cell_01235,2,5,4,4,3,3,0,6,3,6,0,6,6,1
cell_01236,5,2,1,3,2,0,1,3,3,2,0,10,4,3
cell_01237,3,6,5,4,1,3,1,4,3,4,0,4,10,0
cell_01238,2,1,3,8,1,0,1,3,4,5,0,8,8,0
cell_01239,2,8,4,1,0,0,1,5,1,7,0,9,3,4
cell_01240,5,7,4,2,1,1,1,9,4,2,1,4,0,3
cell_01241,4,7,7,2,2,0,2,5,1,5,0,8,7,2
cell_01242,2,5,6,0,1,1,1,1,3,6,1,9,6,1
cell_01243,2,7,8,2,3,2,1,8,5,2,0,7,5,2
cell_01244,3,8,5,6,0,1,1,4,5,5,0,6,6,2
cell_01245,0,5,2,2,0,2,3,6,3,2,0,7,2,2
cell_01246,3,6,8,4,4,2,2,3,3,6,1,6,8,2
cell_01247,2,11,6,1,1,0,0,4,4,3,2,3,8,3
cell_01248,4,6,9,10,0,0,1,7,2,5,2,10,2,1
cell_01249,1,4,6,4,1,2,0,7,4,4,2,8,5,1
cell_01250,1,10,4,4,0,3,0,3,3,4,0,2,5,1
cell_01251,2,8,6,2,2,1,1,6,3,2,2,5,3,0
cell_01252,2,5,3,2,1,3,0,0,6,2,2,7,1,5
cell_01253,0,3,3,5,2,2,0,10,1,3,1,7,5,0
cell_01254,3,2,5,2,3,3,2,4,5,4,1,7,5,0
cell_01255,5,5,8,5,0,3,0,5,4,7,0,8,6,1
cell_01256,3,8,3,2,2,1,0,7,7,5,2,2,2,3
cell_01257,2,6,6,4,1,1,0,4,10,3,0,9,7,2
cell_01258,1,6,1,3,0,1,0,8,3,6,1,1,5,0
cell_01259,0,5,2,2,1,0,1,7,3,4,0,3,6,4
cell_01260,3,4,2,4,1,3,1,4,8,4,2,0,4,2
cell_01261,2,9,3,8,2,2,0,5,3,1,0,10,4,1
cell_01262,2,9,8,4,2,0,3,6,2,3,1,6,6,0
cell_01263,4,5,1,2,1,2,1,4,2,4,0,4,7,2
cell_01264,1,8,2,6,1,0,1,4,5,6,1,7,5,0
cell_01265,4,6,4,4,0,0,1,3,4,4,1,6,8,4
cell_01266,3,4,6,6,1,0,1,3,4,3,0,4,5,2
cell_01267,4,5,2,5,1,2,0,6,6,1,0,8,12,3
cell_01268,5,3,8,9,5,1,2,8,4,7,1,6,9,2
cell_01269,1,7,5,8,1,1,0,2,6,4,1,4,6,2
cell_01270,3,6,4,7,0,2,1,3,5,6,0,4,5,3
cell_01271,3,3,5,3,1,3,1,6,3,7,0,5,7,2
cell_01272,7,7,3,5,0,1,1,4,4,3,2,4,3,3
cell_01273,0,2,4,5,2,2,0,8,4,4,1,5,5,3
cell_01274,1,12,7,5,2,3,0,4,4,3,2,5,4,5
cell_01275,1,7,4,0,0,3,2,4,4,4,1,6,2,4
cell_01276,3,6,2,3,0,1,0,5,6,7,0,6,5,2
cell_01277,1,7,2,3,1,0,1,7,3,5,0,5,6,2
cell_01278,1,7,4,3,1,1,0,3,2,8,1,2,3,1
cell_01279,3,3,2,5,4,1,0,7,4,2,0,10,3,2
cell_01280,3,5,6,3,2,3,1,4,5,1,1,6,3,1
cell_01281,2,7,3,3,5,3,1,5,2,2,0,8,6,2
cell_01282,4,5,8,4,0,1,0,7,2,6,2,6,2,1
cell_01283,4,7,3,1,0,1,1,6,3,4,0,6,5,3
cell_01284,7,9,5,4,1,3,1,4,2,4,2,5,7,2
cell_01285,7,4,3,1,3,0,1,5,3,3,1,6,3,1
cell_01286,3,8,5,2,1,2,0,4,4,4,2,3,2,1
cell_01287,2,7,9,3,3,1,2,4,1,7,3,5,9,2
cell_01288,1,4,7,5,3,2,0,6,2,5,1,4,4,1
cell_01289,4,4,5,4,0,1,1,8,1,5,0,9,5,2
cell_01290,2,5,7,4,1,2,0,8,2,6,1,10,7,2
cell_01291,1,6,2,1,0,2,0,1,1,4,0,5,5,3
cell_01292,1,8,3,5,0,2,2,5,3,2,1,6,5,2
cell_01293,1,8,1,3,2,1,0,8,0,8,0,11,1,0
cell_01294,1,6,2,7,1,0,1,9,6,3,0,10,7,1
cell_01295,2,3,6,2,2,1,1,4,4,1,0,6,9,1
cell_01296,3,6,7,8,0,0,0,8,2,6,0,6,5,3
cell_01297,0,2,4,2,0,0,0,0,7,12,0,3,2,2
cell_01298,1,1,3,3,2,2,1,5,7,3,1,5,7,2
cell_01299,1,11,4,3,0,1,0,8,4,6,0,7,5,1
cell_01300,5,3,5,6,0,0,2,4,2,2,0,4,4,1
cell_01301,1,4,5,4,0,2,0,5,0,3,1,7,8,1
cell_01302,5,8,6,6,3,2,0,4,5,4,1,5,6,0
cell_01303,3,6,3,5,1,2,0,4,4,1,0,8,4,1
cell_01304,1,5,6,4,1,0,1,4,7,4,0,8,4,4
cell_01305,2,5,7,4,0,1,0,2,3,1,0,6,5,1
cell_01306,3,6,6,3,2,0,0,7,5,5,4,1,4,1
cell_01307,4,10,4,5,0,4,0,5,5,4,1,4,6,0
cell_01308,2,3,3,2,0,5,2,6,1,6,1,7,5,0
cell_01309,2,3,7,3,0,0,1,11,3,8,1,7,6,3
cell_01310,4,8,4,5,2,0,1,7,6,3,0,6,4,0
cell_01311,3,6,7,4,1,0,0,5,5,6,1,9,3,1
cell_01312,6,8,4,7,1,0,1,4,4,1,0,6,9,2
cell_01313,4,5,0,3,0,1,1,3,4,1,2,4,1,1
cell_01314,0,11,3,5,0,4,0,4,4,3,1,7,11,2
cell_01315,3,3,6,3,1,1,0,4,3,3,1,4,7,1
cell_01316,3,9,7,4,0,0,0,5,4,6,0,5,5,0
cell_01317,2,6,4,6,3,0,1,5,4,1,1,1,4,3
cell_01318,3,8,1,4,2,3,1,6,1,5,0,4,6,1
cell_01319,4,5,6,3,3,0,1,5,2,5,0,2,6,2
cell_01320,5,1,8,1,2,1,0,5,5,6,0,10,8,0
cell_01321,3,5,2,3,0,1,2,2,2,5,1,3,4,2
cell_01322,2,10,1,3,1,2,4,6,5,6,0,5,4,3
cell_01323,4,6,2,3,1,4,2,4,5,3,0,4,6,3
cell_01324,2,6,6,4,1,1,0,5,7,5,0,3,7,1
cell_01325,3,7,8,2,0,1,0,6,7,3,0,7,8,1
cell_01326,2,3,7,4,1,2,2,9,2,4,1,6,9,2
cell_01327,0,2,2,2,5,2,0,2,4,9,1,6,4,2
cell_01328,6,6,4,1,2,1,2,7,5,3,1,6,2,1
cell_01329,2,4,10,3,0,1,0,6,3,2,0,2,2,3
cell_01330,2,5,6,6,0,4,0,6,7,4,0,5,8,2
cell_01331,0,3,9,7,0,1,1,5,2,5,1,6,5,1
cell_01332,2,4,6,5,0,1,0,5,3,4,1,9,5,3
cell_01333,2,7,7,5,7,2,2,10,3,3,1,3,7,4
cell_01334,3,8,4,4,3,2,0,5,2,6,1,7,2,3
cell_01335,2,6,2,2,3,1,0,7,3,7,0,4,3,1
cell_01336,2,5,6,4,1,2,1,1,4,3,2,7,8,2
cell_01337,1,7,2,8,2,3,1,8,3,4,0,3,8,1
cell_01338,5,11,8,4,0,2,1,7,8,5,1,3,6,2
cell_01339,1,3,0,10,1,1,1,3,4,9,2,10,10,2
cell_01340,2,5,4,4,1,1,0,4,4,6,0,7,10,1
cell_01341,1,4,5,3,0,0,2,2,3,8,1,6,6,0
cell_01342,1,5,7,8,2,0,1,9,6,4,0,8,5,1
cell_01343,2,11,4,3,1,1,0,9,4,2,0,6,5,5
cell_01344,4,4,4,4,1,2,2,3,6,5,0,6,6,2
cell_01345,1,6,3,1,1,0,0,2,10,6,1,8,7,2
cell_01346,3,9,6,3,0,1,2,5,9,1,3,6,6,2
cell_01347,2,4,5,4,2,3,0,5,2,3,1,9,5,0
cell_01348,2,6,3,3,0,0,1,4,7,4,0,5,5,0
cell_01349,3,2,4,6,2,4,2,5,1,6,0,6,2,3
cell_01350,1,5,6,3,1,2,0,3,4,1,1,6,7,2
cell_01351,3,4,4,4,2,1,0,6,1,5,0,8,6,1
cell_01352,4,9,2,1,2,0,1,0,2,5,1,10,3,1
cell_01353,0,8,4,9,0,1,0,4,3,9,1,7,8,4
cell_01354,0,7,5,5,0,2,1,6,2,3,2,5,6,1
cell_01355,2,6,5,1,0,2,1,3,6,4,1,5,5,3
cell_01356,4,4,6,8,0,0,2,6,5,5,0,5,5,2
cell_01357,2,5,5,4,0,2,1,7,4,5,1,3,9,1
cell_01358,4,5,6,3,1,1,2,9,4,6,1,4,4,3
cell_01359,1,3,6,7,1,1,1,4,2,3,1,6,5,1
cell_01360,1,9,2,2,2,1,2,5,1,4,0,5,9,2
cell_01361,2,4,7,3,2,2,2,8,5,8,1,4,7,1
cell_01362,0,2,4,4,1,0,1,3,5,3,0,10,4,1
cell_01363,4,10,5,1,0,1,2,10,3,1,1,7,4,2
cell_01364,3,6,3,5,1,0,1,1,2,4,0,5,4,5
cell_01365,1,5,3,3,1,1,0,3,6,3,1,2,10,3
cell_01366,4,6,8,3,0,2,0,2,4,3,0,4,3,1
cell_01367,0,1,3,0,3,3,1,5,4,6,0,9,5,0
cell_01368,1,5,5,8,1,5,1,4,6,9,0,6,3,2
cell_01369,2,3,4,4,2,0,2,5,5,7,0,7,2,0
cell_01370,3,7,7,3,1,0,1,7,1,3,0,7,6,2
cell_01371,5,7,3,2,3,0,0,6,2,4,2,4,2,1
cell_01372,1,3,4,2,1,2,1,9,4,2,2,9,7,4
cell_01373,5,9,1,5,2,2,1,2,3,4,0,5,5,1
cell_01374,5,9,2,6,1,1,0,11,4,4,1,5,6,2
cell_01375,4,5,10,4,3,3,1,5,3,2,1,2,3,1
cell_01376,2,6,8,3,2,2,0,6,4,7,0,4,5,3
cell_01377,3,3,2,4,0,2,0,7,6,2,0,8,4,4
cell_01378,3,7,4,2,1,1,0,8,1,9,1,5,6,0
cell_01379,2,5,8,5,4,2,2,7,1,2,1,5,1,0
cell_01380,0,5,2,4,2,0,1,6,7,4,3,8,6,0
cell_01381,2,9,7,2,4,0,0,4,1,4,1,5,10,4
cell_01382,1,8,4,5,3,1,1,8,1,4,2,4,2,0
cell_01383,2,5,4,9,3,0,1,6,1,5,0,8,7,1
cell_01384,2,5,6,5,1,1,2,3,4,1,1,8,7,1
cell_01385,0,4,4,2,3,1,0,1,4,3,0,7,7,3
cell_01386,3,8,6,4,2,3,1,4,7,4,0,8,6,1
cell_01387,4,9,1,3,0,0,1,4,5,3,1,4,7,3
cell_01388,2,5,2,5,4,1,0,5,2,5,0,8,8,3
cell_01389,2,5,5,3,2,2,0,11,6,8,1,8,8,3
cell_01390,1,6,2,5,0,2,0,4,4,3,1,9,8,1
cell_01391,2,4,2,4,1,1,0,3,6,5,0,5,3,2
cell_01392,2,5,4,3,3,3,0,3,4,3,0,6,5,2
cell_01393,0,2,7,6,1,3,1,4,3,7,0,8,6,0
cell_01394,1,6,2,11,3,1,3,9,5,5,0,4,4,1
cell_01395,2,5,6,1,2,2,1,4,4,4,0,3,3,1
cell_01396,2,7,6,8,3,1,2,4,2,4,1,7,3,0
cell_01397,2,6,5,2,0,2,0,5,5,1,1,4,11,2
cell_01398,3,8,7,1,2,0,0,2,2,5,1,8,6,1
cell_01399,1,5,5,4,2,1,1,5,1,1,0,3,6,0
cell_01400,4,4,3,3,0,0,1,7,7,3,0,3,8,2
cell_01401,2,4,2,5,3,1,1,6,2,4,1,8,6,2
cell_01402,3,6,3,6,0,4,1,8,5,2,1,5,7,1
cell_01403,1,5,6,6,3,2,0,5,1,5,0,3,4,4
cell_01404,2,4,1,3,0,0,3,5,3,5,1,3,3,0
cell_01405,0,4,3,6,3,0,0,4,1,5,2,5,5,1
cell_01406,4,5,8,6,2,1,0,8,2,8,1,8,5,1
cell_01407,0,1,6,6,5,2,0,6,8,5,0,4,4,0
cell_01408,2,4,3,3,1,1,3,7,3,4,3,4,5,2
cell_01409,4,4,5,5,3,1,1,3,7,4,2,6,12,2
cell_01410,4,2,9,4,1,1,1,3,6,3,0,3,5,2
cell_01411,3,3,4,5,2,0,0,3,4,7,0,7,7,3
cell_01412,3,1,2,9,0,1,2,5,3,7,0,5,6,2
cell_01413,3,6,6,3,0,1,1,5,2,2,0,4,7,2
cell_01414,4,6,1,4,2,0,2,4,2,6,4,7,10,2
cell_01415,5,7,4,5,1,1,0,8,4,4,1,4,5,2
cell_01416,3,4,4,4,1,3,0,8,6,4,0,7,5,2
cell_01417,2,3,5,7,1,1,2,4,4,9,0,3,2,3
cell_01418,4,12,2,3,0,0,0,9,5,5,0,3,3,1
cell_01419,2,6,5,2,1,2,0,9,4,2,1,5,9,3
cell_01420,1,11,5,5,1,2,2,4,2,5,0,3,4,1
cell_01421,3,5,5,1,3,3,1,6,6,6,0,3,7,2
cell_01422,4,3,4,2,1,2,1,4,3,5,0,5,7,1
cell_01423,2,1,3,7,1,1,2,8,4,3,0,5,11,1
cell_01424,2,1,6,2,6,2,1,3,2,4,0,4,5,0
cell_01425,5,5,6,3,1,1,0,3,1,2,1,1,8,2
cell_01426,4,5,7,7,1,0,1,6,3,5,0,3,10,0
cell_01427,2,6,6,9,0,1,1,7,4,4,0,11,6,5
cell_01428,3,7,1,7,0,0,0,4,4,5,1,8,2,1
cell_01429,0,2,4,1,3,1,0,3,3,2,1,7,0,5
cell_01430,2,6,4,5,2,1,2,4,6,5,0,3,7,1
cell_01431,2,3,4,1,0,2,0,6,7,3,0,8,8,0
cell_01432,3,7,3,3,3,1,2,7,1,5,1,6,5,0
cell_01433,0,6,2,2,2,1,0,5,4,3,0,7,7,2
cell_01434,5,6,3,0,0,0,0,7,5,5,2,1,5,0
cell_01435,3,6,4,3,1,0,0,3,4,1,0,4,4,1
cell_01436,3,4,4,3,0,4,2,6,6,3,0,8,5,0
cell_01437,6,2,4,4,2,1,0,8,4,4,0,7,4,1
cell_01438,3,7,3,2,0,2,1,8,1,6,0,3,7,2
cell_01439,3,5,3,4,0,0,1,4,5,1,0,6,6,3
cell_01440,2,11,4,5,0,0,1,4,2,3,1,5,4,5
cell_01441,1,3,6,4,1,1,0,5,7,3,1,9,0,1
cell_01442,4,4,6,5,0,2,0,3,1,4,0,7,8,2
cell_01443,2,6,6,4,2,1,1,6,5,4,1,5,7,4
cell_01444,2,2,5,1,1,1,0,4,1,6,0,7,4,1
cell_01445,2,5,4,6,1,1,2,4,5,4,1,7,3,3
cell_01446,1,5,7,7,1,2,0,4,6,8,0,4,4,2
cell_01447,1,8,10,3,1,2,0,2,2,3,0,7,5,1
cell_01448,3,4,3,4,2,1,0,6,3,2,3,7,3,1
cell_01449,1,9,5,2,0,3,1,7,5,4,0,3,4,3
cell_01450,2,8,3,4,2,2,0,6,2,4,1,6,5,2
cell_01451,4,6,7,4,1,3,1,4,4,1,0,7,4,1
cell_01452,2,3,3,6,1,3,1,4,7,5,0,6,5,1
cell_01453,1,2,7,6,0,2,1,2,5,2,1,5,5,0
cell_01454,1,1,2,2,0,2,0,5,6,4,1,10,4,1
cell_01455,2,3,2,4,2,1,3,8,3,2,1,3,3,2
cell_01456,2,14,3,7,4,2,0,9,2,4,0,6,7,1
cell_01457,2,4,6,2,0,0,0,2,4,6,2,4,4,1
cell_01458,1,4,7,3,0,1,1,3,2,4,0,5,5,0
cell_01459,2,3,5,4,1,1,1,3,5,3,1,8,6,2
cell_01460,1,5,5,3,1,2,1,6,4,5,0,14,5,1
cell_01461,1,6,5,5,0,0,2,5,3,5,0,4,6,2
cell_01462,2,11,7,2,0,2,1,8,2,8,0,6,3,0
cell_01463,3,12,7,2,0,1,0,5,1,5,0,5,4,2
cell_01464,2,8,7,2,0,4,1,1,4,2,1,4,1,2
cell_01465,1,5,3,3,0,0,0,8,5,5,0,7,4,0
cell_01466,2,10,5,4,1,1,1,5,2,6,0,9,4,2
cell_01467,4,9,3,3,1,1,0,7,2,6,0,3,10,1
cell_01468,1,2,4,3,0,1,0,7,3,5,2,8,6,2
cell_01469,2,2,7,3,2,2,4,5,2,5,2,6,5,1
cell_01470,4,6,5,6,3,3,1,4,5,7,3,7,2,0
cell_01471,5,5,3,4,0,0,2,6,3,5,1,1,2,1
cell_01472,3,12,3,1,1,0,2,3,6,3,0,6,9,2
cell_01473,4,4,7,2,1,2,0,5,3,3,0,10,5,0
cell_01474,4,7,4,8,0,0,1,3,3,4,1,3,6,1
cell_01475,7,6,2,2,1,5,1,3,5,4,1,7,2,0
cell_01476,3,7,4,3,3,1,0,7,2,1,2,4,3,4
cell_01477,1,6,5,1,1,0,0,6,3,2,0,5,3,2
cell_01478,3,3,5,4,1,0,1,7,6,5,0,4,5,0
cell_01479,4,3,4,3,3,1,1,3,3,0,0,2,0,4
cell_01480,5,4,3,6,0,1,1,2,6,6,1,6,5,2
cell_01481,1,3,4,3,2,0,1,3,5,3,1,8,3,1
cell_01482,2,5,1,1,0,1,0,2,6,6,0,10,9,3
cell_01483,3,5,9,6,2,1,0,8,3,5,0,7,4,1
cell_01484,1,10,8,3,1,0,2,7,3,3,0,5,4,1
cell_01485,3,1,3,8,3,1,0,5,2,2,0,5,5,6
cell_01486,1,4,3,4,2,2,0,5,6,7,1,9,5,2
cell_01487,3,8,9,1,2,2,0,6,8,3,1,3,4,2
cell_01488,3,6,1,3,1,2,3,5,6,6,0,9,2,1
cell_01489,6,4,2,5,0,1,0,7,5,5,3,4,4,3
cell_01490,3,2,3,3,1,2,4,8,3,5,1,1,3,1
cell_01491,3,2,4,9,6,1,0,4,2,2,1,4,3,1
cell_01492,2,5,5,5,1,2,1,5,3,5,0,6,6,2
cell_01493,1,4,5,5,0,0,0,5,3,3,1,4,5,2
cell_01494,4,7,5,4,1,2,0,5,1,3,1,6,5,2
cell_01495,3,6,4,3,1,2,3,3,2,4,0,6,9,4
cell_01496,2,4,4,4,1,1,0,3,4,3,0,6,4,2
cell_01497,4,3,5,6,0,0,2,7,1,4,0,6,3,3
cell_01498,3,2,5,1,1,2,3,7,3,10,0,5,4,1
cell_01499,6,8,4,5,2,0,0,2,5,1,1,7,4,2
cell_01500,2,3,4,3,1,4,1,6,5,3,1,1,5,1
cell_01501,1,8,5,5,1,0,2,3,4,4,0,5,3,0
cell_01502,2,4,4,4,1,1,0,7,5,1,0,7,3,3
cell_01503,8,6,10,7,2,2,0,6,3,5,1,10,4,4
cell_01504,4,7,5,7,1,0,1,2,5,9,1,10,6,0
cell_01505,6,5,5,4,0,0,1,2,6,6,1,4,5,4
cell_01506,3,3,4,4,1,2,0,3,3,4,0,4,5,2
cell_01507,5,2,3,4,0,0,0,5,7,3,1,2,4,2
cell_01508,1,4,5,7,2,2,0,6,6,6,0,5,6,1
cell_01509,2,3,3,5,1,0,2,2,6,4,0,5,7,1
cell_01510,2,4,4,6,0,1,1,3,4,6,1,5,7,1
cell_01511,0,2,3,5,2,3,0,10,5,5,1,5,4,1
cell_01512,1,7,6,3,1,1,1,8,2,7,1,3,7,3
cell_01513,0,4,4,3,2,2,0,7,5,8,0,2,1,0
cell_01514,0,8,7,5,0,1,0,6,4,1,1,1,7,0
cell_01515,0,1,4,1,1,1,1,5,7,5,0,9,5,1
cell_01516,0,8,3,2,0,1,0,6,5,3,0,2,7,2
cell_01517,6,10,7,2,3,0,2,8,1,5,0,7,5,1
cell_01518,2,5,6,2,4,2,0,6,2,5,2,6,3,3
cell_01519,2,7,6,2,1,4,2,5,8,4,0,15,4,3
cell_01520,3,8,7,5,0,1,2,5,1,3,0,4,12,1
cell_01521,4,5,4,1,3,1,0,3,4,5,0,6,7,2
cell_01522,2,4,2,4,3,0,3,8,6,2,0,9,4,2
cell_01523,1,5,6,2,2,3,1,6,4,4,0,8,5,3
cell_01524,1,2,5,3,0,2,0,2,5,6,0,7,5,1
cell_01525,3,8,8,4,1,1,1,9,3,2,1,11,10,3
cell_01526,1,9,4,7,2,1,3,6,3,4,0,7,3,3
cell_01527,2,3,6,5,3,2,0,6,4,6,0,8,2,0
cell_01528,1,10,9,3,2,0,2,7,4,3,0,7,5,2
cell_01529,6,2,4,1,1,1,0,2,0,3,1,6,7,2
cell_01530,4,5,8,4,2,3,0,5,4,5,0,10,5,1
cell_01531,0,3,2,6,1,1,1,4,1,8,0,8,5,2
cell_01532,2,5,3,3,1,1,0,6,4,4,0,6,6,2
cell_01533,1,5,2,2,2,1,1,7,6,7,1,8,6,0
cell_01534,4,5,3,4,1,4,0,4,6,7,0,6,5,1
cell_01535,3,6,3,3,1,1,2,6,4,2,0,5,4,4
cell_01536,2,2,2,2,4,0,1,7,6,6,1,1,5,1
cell_01537,8,7,4,5,1,2,0,4,2,5,0,4,3,0
cell_01538,2,8,2,4,2,0,0,8,4,6,2,3,2,2
cell_01539,2,4,4,3,0,0,1,4,4,3,0,7,4,0
cell_01540,1,5,4,3,0,2,0,7,3,3,0,5,8,1
cell_01541,1,4,6,7,0,2,1,7,6,3,2,5,5,3
cell_01542,3,5,4,5,1,3,1,2,5,2,0,6,2,2
cell_01543,4,4,7,4,2,1,1,6,6,6,0,6,8,0
cell_01544,2,13,7,3,2,2,0,8,1,3,1,8,3,1
cell_01545,1,8,1,3,3,1,1,3,3,4,0,5,5,0
cell_01546,1,6,6,5,1,0,0,7,1,4,0,8,6,3
cell_01547,1,5,4,5,1,1,2,4,4,4,0,7,3,0
cell_01548,2,5,4,4,0,0,2,4,1,2,1,7,6,2
cell_01549,2,10,0,0,2,1,1,8,4,3,0,4,5,4
cell_01550,1,2,5,7,2,2,2,8,0,5,0,6,5,1
cell_01551,4,7,4,4,1,2,0,3,3,5,1,5,2,2
cell_01552,6,6,0,2,0,2,1,1,3,3,1,7,6,4
cell_01553,2,3,6,5,2,2,0,9,1,10,0,9,5,4
cell_01554,3,2,4,5,1,1,0,5,1,6,1,8,3,3
cell_01555,3,4,4,3,1,1,2,5,8,2,0,7,6,2
cell_01556,3,7,6,2,0,1,2,3,4,5,2,4,5,1
cell_01557,3,3,1,2,1,2,1,3,1,1,0,5,4,3
cell_01558,1,9,3,2,3,1,0,4,2,6,0,7,4,0
cell_01559,1,8,4,3,1,1,2,6,4,0,0,7,6,1
cell_01560,4,6,2,3,0,3,3,6,2,7,1,5,5,0
cell_01561,5,7,2,4,0,1,1,2,7,4,2,3,5,2
cell_01562,1,7,6,5,1,1,1,6,6,2,0,5,7,0
cell_01563,2,6,3,3,0,2,1,8,2,4,0,4,8,1
cell_01564,2,1,1,1,1,1,2,5,3,10,0,6,8,3
cell_01565,3,4,5,2,1,1,1,3,6,4,1,5,4,2
cell_01566,4,3,2,5,2,0,2,5,1,2,0,6,8,2
cell_01567,1,7,5,2,0,3,2,4,2,5,1,5,3,1
cell_01568,1,2,6,3,0,1,0,6,2,2,0,6,5,3
cell_01569,2,9,8,6,2,3,0,4,4,8,1,5,8,2
cell_01570,3,2,2,2,0,2,0,4,7,1,1,5,4,1
cell_01571,2,9,6,4,1,1,0,5,3,3,0,6,6,3
cell_01572,3,2,4,7,1,2,0,1,4,6,0,7,4,3
cell_01573,3,3,3,2,0,1,0,5,5,5,1,5,6,3
cell_01574,2,2,5,2,1,3,1,6,3,4,0,8,7,3
cell_01575,1,8,7,2,1,0,0,5,5,9,1,6,4,1
cell_01576,3,5,4,5,1,1,0,2,3,3,0,8,5,2
cell_01577,3,4,2,3,1,1,2,7,3,3,0,5,2,1
cell_01578,4,7,5,1,3,2,0,4,1,5,0,2,6,1
cell_01579,0,5,2,5,3,2,0,6,5,4,0,4,8,0
cell_01580,2,7,8,2,2,1,1,8,3,7,2,4,6,0
cell_01581,4,4,4,4,1,2,0,8,4,7,0,1,5,1
cell_01582,3,7,10,2,2,1,0,8,5,5,0,6,5,2
cell_01583,1,4,5,7,3,4,0,6,6,4,3,5,6,1
cell_01584,5,9,10,4,0,2,2,7,4,6,1,7,2,1
cell_01585,4,5,4,7,1,4,0,2,7,8,0,5,5,0
cell_01586,1,10,4,5,0,1,2,0,3,10,0,8,7,4
cell_01587,4,7,7,4,2,0,2,3,3,7,2,5,6,1
cell_01588,2,7,0,2,1,2,0,7,3,1,0,8,5,2
cell_01589,5,4,2,6,0,1,1,4,5,5,2,3,11,6
cell_01590,3,9,3,4,1,1,0,6,7,3,0,6,6,5
cell_01591,2,9,8,3,0,0,0,6,3,5,0,2,1,1
cell_01592,4,3,6,3,1,4,2,5,4,3,1,5,8,5
cell_01593,3,9,3,6,1,2,2,6,3,1,0,9,5,0
cell_01594,3,5,3,4,1,1,2,5,7,3,0,8,2,0
cell_01595,5,3,4,3,0,1,0,3,6,1,1,6,5,1
cell_01596,1,4,4,3,0,0,0,1,2,2,0,6,4,1
cell_01597,2,8,6,5,3,2,1,5,0,1,1,3,1,1
cell_01598,4,8,6,2,3,0,1,5,2,2,1,2,4,5
cell_01599,5,10,3,3,3,1,1,7,3,4,0,10,6,0
cell_01600,3,6,1,8,2,0,1,6,12,3,0,8,6,2
cell_01601,2,8,6,3,2,0,1,3,4,4,1,4,5,1
cell_01602,5,9,5,4,1,2,1,9,4,5,1,3,6,0
cell_01603,2,2,2,2,0,0,0,5,4,4,0,3,2,0
cell_01604,3,9,7,7,1,2,0,3,3,3,0,7,4,4
cell_01605,5,0,5,6,3,0,0,3,3,1,1,6,0,2
cell_01606,1,4,6,3,3,1,3,4,4,5,0,5,5,1
cell_01607,3,6,4,5,0,2,1,6,2,4,1,3,5,1
cell_01608,4,5,3,5,2,0,0,9,1,7,0,3,3,1
cell_01609,4,4,7,7,1,2,1,3,3,3,0,6,6,3
cell_01610,4,6,5,2,1,2,0,5,3,3,0,1,1,0
cell_01611,2,11,4,6,5,2,1,3,4,4,0,8,4,3
cell_01612,6,10,5,3,0,3,0,4,6,4,1,6,4,2
cell_01613,1,3,2,4,0,1,0,6,6,3,0,3,4,1
cell_01614,2,6,6,2,1,2,0,6,3,0,0,5,3,3
cell_01615,3,8,5,7,1,0,1,3,0,5,0,6,7,1
cell_01616,0,5,4,4,1,3,1,5,4,5,1,7,4,1
cell_01617,0,7,6,5,2,0,0,13,5,4,1,3,3,1
cell_01618,3,3,4,3,1,1,1,6,3,6,0,4,2,0
cell_01619,2,4,12,4,1,1,1,3,5,3,1,2,3,2
cell_01620,1,8,3,3,2,2,0,6,6,5,1,4,6,2
cell_01621,6,6,7,4,0,3,2,8,4,3,0,4,6,2
cell_01622,4,4,6,2,3,2,1,3,5,2,1,11,5,0
cell_01623,3,9,7,3,0,1,0,5,3,2,1,7,7,2
cell_01624,1,4,3,1,1,2,0,5,5,6,2,2,1,2
cell_01625,2,7,5,6,1,0,1,3,4,4,0,4,2,2
cell_01626,2,2,9,5,0,0,2,7,3,3,2,6,2,2
cell_01627,5,5,9,1,1,0,0,3,3,3,1,5,5,2
cell_01628,7,8,5,4,0,0,0,9,2,3,1,10,8,0
cell_01629,2,7,5,3,0,0,2,6,4,8,1,6,4,2
cell_01630,2,4,3,3,0,3,2,11,4,5,2,5,5,3
cell_01631,3,8,6,4,1,1,2,9,5,5,4,5,5,1
cell_01632,5,4,4,5,0,2,2,7,4,6,1,6,5,3
cell_01633,2,4,6,4,0,1,3,6,3,7,0,6,12,0
cell_01634,7,7,3,2,4,3,0,2,3,3,0,4,5,1
